name,nameShow,parti,groupe
Agnès Firmin Le Bodo,Agnès Firmin-Le Bodo,LR,LC
Philippe Gomès,Philippe Gomès,CE,LC
Meyer Habib,Meyer Habib,UDI,LC
Antoine Herth,Antoine Herth,LR,LC
Yves Jégo,Yves Jégo,UDI-Rad.,LC
Laure de La Raudière,Laure de La Raudière,LR,LC
Jean-Christophe Lagarde,Jean-Christophe Lagarde,UDI-FED,LC
Vincent Ledoux,Vincent Ledoux,LR,LC
Maurice Leroy,Maurice Leroy,LC,LC
Lise Magnier,Lise Magnier,LR,LC
Pierre Morel A L'Huissier,Pierre Morel-À-L'Huissier,LR,LC
Christophe Naegelen,Christophe Naegelen,DVD,LC
Bertrand Pancher,Bertrand Pancher,UDI-Rad.,LC
Maina Sage,Maina Sage,TH,LC
Nicole Sanquer,Nicole Sanquer,TH,LC
Thierry Solère,Thierry Solère,LR,LC
Francis Vercamer,Francis Vercamer,LC,LC
Philippe Vigier,Philippe Vigier,LC,LC
André Villiers,André Villiers,UDI,LC
Jean-Luc Warsmann,Jean-Luc Warsmann,LR,LC
Michel Zumkeller,Michel Zumkeller,UDI-Rad.,LC
Napole Polutele,Napole Polutele,DVG,LC
Stéphane Demilly,Stéphane Demilly,LC,LC
Franck Riester,Franck Riester,LR,LC
Damien Abad,Damien Abad,LR,LR
Emmanuelle Anthoine,Emmanuelle Anthoine,LR,LR
Julien Aubert,Julien Aubert,LR,LR
Thibault Bazin,Thibault Bazin,LR,LR
Valérie Bazin-Malgras,Valérie Bazin-Malgras,LR,LR
Valérie Beauvais,Valérie Beauvais,LR,LR
Émilie Bonnivard,Émilie Bonnivard,LR,LR
Jean Yves Bony,Jean-Yves Bony,LR,LR
Ian Boucard,Ian Boucard,LR,LR
Jean-Claude Bouchet,Jean-Claude Bouchet,LR,LR
Valérie Boyer,Valérie Boyer,LR,LR
Xavier Breton,Xavier Breton,LR,LR
Bernard Brochand,Bernard Brochand,LR,LR
Fabrice Brun,Fabrice Brun,LR,LR
Gilles Carrez,Gilles Carrez,LR,LR
Jacques Cattin,Jacques Cattin,LR,LR
Gérard Cherpion,Gérard Cherpion,LR,LR
Dino Cinieri,Dino Cinieri,LR,LR
Éric Ciotti,Éric Ciotti,LR,LR
Josiane Corneloup,Josiane Corneloup,LR,LR
François Cornut-Gentille,François Cornut-Gentille,LR,LR
Marie Christine Dalloz,Marie-Christine Dalloz,LR,LR
Olivier Dassault,Olivier Dassault,LR,LR
Bernard Deflesselles,Bernard Deflesselles,LR,LR
RÃ©MI Delatte,Rémi Delatte,LR,LR
Vincent Descoeur,Vincent Descœur,LR,LR
Fabien Di Filippo,Fabien Di Filippo,LR,LR
Éric Diard,Éric Diard,LR,LR
Julien Dive,Julien Dive,LR,LR
Jean Pierre Door,Jean-Pierre Door,LR,LR
Marianne Dubois,Marianne Dubois,LR,LR
Virginie Duby-Muller,Virginie Duby-Muller,LR,LR
Pierre-Henri Dumont,Pierre-Henri Dumont,LR,LR
Daniel Fasquelle,Daniel Fasquelle,LR,LR
Jean Jacques Ferrara,Jean-Jacques Ferrara,LR,LR
Nicolas Forissier,Nicolas Forissier,LR,LR
Laurent Furst,Laurent Furst,LR,LR
Claude de Ganay,Claude de Ganay,LR,LR
Jean-Jacques Gaultier,Jean-Jacques Gaultier,LR,LR
Annie Genevard,Annie Genevard,LR,LR
Claude Goasguen,Claude Goasguen,LR,LR
Philippe Gosselin,Philippe Gosselin,LR,LR
