name,nameShow,parti,groupe
Laetitia Romeiro Dias,Laëtitia Romeiro Dias,REM,REM
Xavier Roseren,Xavier Roseren,REM,REM
Laurianne Rossi,Laurianne Rossi,REM,REM
Gwendal Rouillard,Gwendal Rouillard,REM,REM
Cédric Roussel,Cédric Roussel,REM,REM
Thomas Rudigoz,Thomas Rudigoz,REM,REM
François de Rugy,François de Rugy,PÉ,REM
Pacôme Rupin,Pacôme Rupin,REM,REM
Laurent Saint-Martin,Laurent Saint-Martin,REM,REM
Laetitia Saint-Paul,Laëtitia Saint-Paul,REM,REM
Nathalie Sarles,Nathalie Sarles,REM,REM
Jacques Savatier,Jacques Savatier,REM,REM
Jean Bernard Sempastous,Jean-Bernard Sempastous,REM,REM
Olivier Serva,Olivier Serva,REM,REM
Benoit Simian,Benoît Simian,REM,REM
Denis Sommer,Denis Sommer,REM,REM
Joachim Son-Forget,Joachim Son-Forget,REM,REM
Bertrand Sorre,Bertrand Sorre,REM,REM
Bruno Studer,Bruno Studer,REM,REM
Sira Sylla,Sira Sylla,REM,REM
Aurélien Taché,Aurélien Taché,REM,REM
Marie Tamarelle-Verhaeghe,Marie Tamarelle-Verhaeghe,REM,REM
Buon Tan,Buon Tan,REM,REM
Liliane Tanguy,Liliane Tanguy,REM,REM
Adrien Taquet,Adrien Taquet,REM,REM
Jennifer de Temmerman,Jennifer de Temmerman,REM,REM
TERLIER JEAN,Jean Terlier,REM,REM
Stephane Testé,Stéphane Testé,REM,REM
Vincent Thiébaut,Vincent Thiébaut,REM,REM
Agnès Thill,Agnès Thill,REM,REM
Sabine Thillaye,Sabine Thillaye,REM,REM
Valérie Thomas,Valérie Thomas,REM,REM
Alice Thourot,Alice Thourot,REM,REM
Huguette Tiegna,Huguette Tiegna,REM,REM
Jean-Louis Touraine,Jean-Louis Touraine,REM,REM
Alain Tourret,Alain Tourret,REM,REM
Elisabeth Toutut-Picard,Elisabeth Toutut-Picard,REM,REM
Stéphane Trompille,Stéphane Trompille,REM,REM
Frédérique Tuffnell,Frédérique Tuffnell,REM,REM
Alexandra Valetta-Ardisson,Alexandra Valetta-Ardisson,REM,REM
Laurence Vanceunebrock-Mialon,Laurence Vanceunebrock-Mialon,REM,REM
Olivier Véran,Olivier Véran,REM,REM
Marie Christine Verdier Jouclas,Marie-Christine Verdier-Jouclas,REM,REM
Annie Vidal,Annie Vidal,REM,REM
Patrick Vignal,Patrick Vignal,REM,REM
Corinne Vignon,Corinne Vignon,REM,REM
Cédric Villani,Cédric Villani,REM,REM
Guillaume Vuilletet,Guillaume Vuilletet,PÉ,REM
Martine Wonner,Martine Wonner,REM,REM
Hélène Zannier,Hélène Zannier,REM,REM
Jean-Marc Zulesi,Jean-Marc Zulesi,REM,REM
François André,François André,PS,REM
Sonia Krimi,Sonia Krimi,DIV,REM
Laurence Maillart Méhaignerie,Laurence Maillart-Méhaignerie,MoDem,REM
Manuel Valls,Manuel Valls,DVG,REM
Richard Ferrand,Richard Ferrand,REM,REM
