name,parti,groupe
Bernard Reynès,LR,LR
Vincent Rolland,LR,LR
Martial Saddier,LR,LR
Raphaël Schellenberger,LR,LR
Jean-Marie Sermier,LR,LR
Éric Straumann,LR,LR
Michèle Tabarot,LR,LR
Jean-Charles Taugourdeau,LR,LR
Guy Teissier,LR,LR
Laurence Trastour-Isnart,LR,LR
Isabelle Valentin,LR,LR
Pierre Vatin,LR,LR
Patrice Verchère,LR,LR
Arnaud Viala,LR,LR
Michel Vialay,LR,LR
Jean-Pierre Vigier,LR,LR
Stéphane Viry,LR,LR
Éric Woerth,LR,LR
Nathalie Bassire,DVD,LR
Pierre Cordier,DVD,LR
Claire Guion-Firmin,DVD,LR
Emmanuel Maquet,DVD,LR
Nadia Ramassamy,DVD,LR
Christian Jacob,LR,LR
Erwan Balanant,REM,MoDem
Géraldine Bannier,MoDem,MoDem
Jean-Noël Barrot,MoDem,MoDem
Philippe Berta,REM,MoDem
Philippe Bolo,MoDem,MoDem
Jean-Louis Bourlanges,MoDem,MoDem
Vincent Bru,MoDem,MoDem
Jean-Pierre Cubertafon,MoDem,MoDem
Marguerite Deprez-Audebert,MoDem,MoDem
Bruno Duvergé,MoDem,MoDem
Sarah El Haïry,MoDem,MoDem
Nathalie Elimas,MoDem,MoDem
Nadia Essayan,MoDem,MoDem
Michel Fanget,MoDem,MoDem
Marc Fesneau,MoDem Pré.,MoDem
Isabelle Florennes,MoDem,MoDem
Patricia Gallerneau,MoDem,MoDem
Laurent Garcia,MoDem,MoDem
Brahim Hammouche,MoDem,MoDem
Cyrille Isaac-Sibille,MoDem,MoDem
Élodie Jacquier-Laforge,MoDem,MoDem
Bruno Joncour,MoDem,MoDem
Jean-Luc Lagleize,MoDem,MoDem
Fabien Lainé,UDI,MoDem
Mohamed Laqhila,MoDem,MoDem
Florence Lasserre-David,MoDem,MoDem
Philippe Latombe,MoDem,MoDem
Aude Luquet,MoDem,MoDem
Jean-Paul Mattei,MoDem,MoDem
Sophie Mette,MoDem,MoDem
Philippe Michel-Kleisbauer,MoDem,MoDem
Patrick Mignola,MoDem,MoDem
Bruno Millienne,MoDem,MoDem
Frédéric Petit,MoDem,MoDem
Maud Petit,MoDem,MoDem
Josy Poueyto,MoDem,MoDem
Richard Ramos,MoDem,MoDem
Thierry Robert,MoDem,MoDem
Marielle de Sarnez,MoDem,MoDem
Nicolas Turquois,MoDem,MoDem
Michèle de Vaucouleurs,MoDem,MoDem
Laurence Vichnievsky,MoDem,MoDem
Sylvain Waserman,MoDem,MoDem
Justine Benin,DVG,MoDem
Bruno Fuchs,REM,MoDem
Max Mathiasin,DVG,MoDem
Jimmy Pahun,DIV,MoDem
Joël Aviragnet,PS,NG
Ericka Bareigts,PS,NG
Delphine Batho,PS,NG
Marie-Noëlle Battistel,PS,NG
Gisèle Biémouret,PS,NG
Christophe Bouillon,PS,NG
Jean-Louis Bricout,PS,NG
Luc Carvounas,PS,NG
Alain David,PS,NG
Laurence Dumont,PS,NG
Olivier Dussopt,PS,NG
Guillaume Garot,PS,NG
David Habib,PS,NG
Régis Juanico,PS,NG
Marietta Karamanli,PS,NG
Jérôme Lambert,PS,NG
Stéphane Le Foll,PS,NG
George Pau-Langevin,PS,NG
Christine Pirès-Beaune,PS,NG
Dominique Potier,PS,NG
Joaquim Pueyo,PS,NG
François Pupponi,PS,NG
Valérie Rabault,PS,NG
Hervé Saulignac,PS,NG
Cécile Untermaier,PS,NG
Hélène Vainqueur-Christophe,PS,NG
Boris Vallaud,PS,NG
Christian Hutin,MRC,NG
Serge Letchimy,PPM,NG
Josette Manin,DVG,NG
Olivier Faure,PS,NG
Jean-Félix Acquaviva,PaC,NI
Louis Aliot,FN,NI
Bruno Bilde,FN,NI
Michel Castellani,PaC,NI
Sébastien Chenu,FN,NI
Gilbert Collard,FN,NI
Paul-André Colombani,PaC,NI
Jeanine Dubié,PRG,NI
Nicolas Dupont-Aignan,DLF,NI
Emmanuelle Duverger,FN (app.),NI
M'jid El Guerrab,SE,NI
José Évrard,FN,NI
Jean Lassalle,Résistons !,NI
Marine Le Pen,FN,NI
Marie-France Lorho,LS,NI
Ludovic Pajot,FN,NI
Sylvia Pinel,PRG,NI
Olivier Falorni,DVG,"NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
NI
"
