name,type,company,description,amount,notes,notes2,notes3,notes4
François Zocchetto,pro,,Avocat,188583 EUR par an,Estimation en 2013,,,
Frédéric Lefebvre,pro,,Avocat,207575 EUR par an,Estimation,,,
Christophe Caresche,pro,,Avocat,,Avocat jusqu'au 30 juin 2012 Mise en omission à ma demande par le Conseil de l'Ordre (ci-joint arrêté),,,
Claude Goasguen,pro,,Avocat,,2012 : déficit,,,
Denys Robiliard,pro,,avocat,,,,,
Edouard Philippe,pro,,Avocat,,Je ne suis pas certain de comprendre la question. Vous voulez connaître mon taux horaire au jour de l'élection ? Ma rémunération mensuelle / annuelle moyenne ?,,,
Pierre Morel-A-L'Huissier,pro,,Avocat,,Déficit,,,
Rudy Salles,pro,,Avocat,,,,,
Jean-François Copé,pro,,Avocat,2012 : 313703 EUR par an,,,,
Philippe Bonnecarrère,pro,,Avocat,NÉANT,"A compter de mon élection NÉANT, renonciation à ma part de rémunération",,,
Philippe Houillon,pro,,Avocat,2013 : 48000 EUR,Avocat (Généraliste) membre de la SCP d'avocats PETIT-MARCOT-HOUILLON et Associés (Temps Partiel) - 4000 EUR par mois en 2013 (Nota: BNC 2013 non définitivement arreté à ce jour),,,
Jean Glavany,pro,,Avocat,60935 EUR par an,Avocat au cabinet 'Parme avocats',,,
Yann Galut,pro,,Avocat,2012 : 67119 EUR,Avocat au cabinet d'avocat SCP GALUT DUIVON BERTHON  -  Rémunération variable pour 2012 : 67119 EUR,,,
Gilbert Collard,pro,,Avocat,2012 : 393598 EUR,"Avocat (gérant de la SELARL COLLARD) - mensuelle = 32799,9 (en 2012)",,,
Jean-Yves Le Bouillonnec,pro,,Avocat (omission du Barreau en décembre 2010),NÉANT,,,,
Étienne Blanc,pro,,Avocat (profession non exercée depuis 2002),NÉANT,,,,
Yves Nicolin,pro,,Avocat à la Cour,2013 : 20000 EUR,Avocat à la Cour - Estimation 2013 environ 20000 EUR 2012: 20134 EUR,,,
Alain Tourret,pro,,Avocat à la Cour d'Appel,2012 : 51241 EUR par an,,,,
François Baroin,pro,,Avocat exerçant en régime libéral,"Reprise des activités depuis le 22/07/2014, Les rémunérations, revenus, BNC ne sont connus qu'à la clotûre de l'année fiscale en cours","Avocat, exerçant en application du régime encadrant les incompatibilités liées à l'exercice de mes actuels mandats de parlementaire et d'élu local.",,,
Jacques Bigot,pro,,Avocat honoraire sans activité,25900 EUR par an,2158 EUR mensuels de retaraite,,,
Jean-François Copé,pro,,Avocat jusqu'au 30/06/13,2013 : 184734 EUR par an,Réinscription au barreau le 17 juin 2014,,,
Guillaume Larrivé,pro,,Avocat omis du Barreau de Paris depuis le 15/09/2015,,,,,
Colette Capdevielle,pro,,Avocate,2013 : 27317 EUR,Avocate inscrite au Barreau de Bayonne - en 2012 : 27 317 EUR en 2013 : déclaration pas encore établie par l'Expert comptable,,,
Henri Tandonnet,pro,,Avoué à la cour,2011 : 71251 EUR,"En 2011, Avoué à la cour",,,
Philippe Vigier,pro,,Biologiste Cogérant,2013 : 55560 EUR,Biologiste dans un laboratoire d'analyses médicales privé (SEL de la Madeleine) Cogérant - au 31/12/2013 55560 EUR (+csg non déductible pas encore calculée à ce jour),,,
Philippe Noguès,pro,,Cadre commercial,NEANT,Cadre commercial SAS PHILIP MORRIS France 46150 EUR par an contrat travail suspendu  le 1er juillet 2012,,,
Jean-Noël Carpentier,pro,,Cadre commercial,27284 EUR par an,"Cadre commercial auprès de la société BERIM -En raison de mon élection comme député, j'ai suspendu mon contrat de travail à compter du 1er juillet 2012 en application de l'article L.3142-60 du code du travail Dernier salaire perçu le 30 juin 2012 pour un montant de 2273,70 EUR",,,
Claude de Ganay,pro,,Cadre de la fonction publique territoriale,NEANT,"Cadre de la fonction publique territoriale - 3560,39 EUR / mois jusqu'à la date de mon élection à l'AN (après détachement de plein droit)",,,
Frédéric Barbier,pro,,Cadre ERDF / GRDF,37100 EUR par an,"3094,66 EUR par mois (février 2015)",,,
Pierre-Yves Le Borgn',pro,,Cadre supérieur société First Solar GMBH,168000 EUR par an,14000 EUR (salaire mensuel),,,
Gisèle Jourda,pro,,"Cadre territorial, attachée principale en mairies","54491,76 EUR par an",,,,
Christophe Premat,pro,,Chargé de cours à l'Université de Stockholm,,Chargé de cours à l'Université de Stockholm (jusqu'au 30/06/2014) au département de langues romanes,,,
Jean-Yves Le Déaut,pro,,Chargé de cours à Sciences-Po Paris (24 heures annuelles) Cette activité a cessé début 2013,2268 EUR par an,Chargé de cours à Sciences-Po Paris  -  2268,,,
Thomas Thévenoud,pro,,Chargé de formation de la Direction Générale d'ERDF,23400 EUR net par an,net,,,
Laurent Baumel,pro,,Chargé de mission,2012 : 61064 EUR,Chargé de mission à la Direction générale des statistiques de la Banque de France jusqu'en juin 2012 - Salaires nets imposables : 61064 sur l'année 2012,,,
Michel Pouzol,pro,,Chargé de mission,36000 EUR par an,"Chargé de mission auprès du Président Agence Espaces Verts Iles de France - 3000,00 EUR",,,
Florent Boudié,pro,,Chargé de mission auprès du Directeur Général des services,"2012 : 7318,86 EUR","Chargé de mission auprès du Directeur Général des services de la Ville de Libourne - -Temps partiel 50 % : du 1er au 17 juin 2012 -Net à payer : 1.219,81 EUR",,,
Michel Sordi,pro,,Chargé de mission Direction de la construction durable,40157 EUR par an,brut annuel DIAM1 le 18/06/2014 avenant contrat de travail,,,
