name,type,company,description,amount,notes,notes2,notes3,notes4
Philippe Le Ray,financial,Ouest-Solution Thermique,2400 EUR,NÉANT,,,,
Dominique Tian,financial,Over line,15100000 EUR,"315,428 EUR",,,,
Philippe Adnot,financial,PAMES,2000 EUR,NÉANT,,,,
Sophie Errante,financial,Partenaire Hospitalier International (PHI),49 211 EUR,2009 : 10 464 EUR,,,,
Catherine Tasca,financial,Parts BRED,"346,40 EUR",NÉANT,NÉANT,,,
François Sauvadet,financial,Parts sociales Crédit Agricole,"1070,98 EUR","16,24 EUR",,,,
Béatrice Santais,financial,Parts sociales du crédit agricole des SAVOIE (agence de montmélian,607 EUR,2012 : 17 EUR,,,,
Gérard Bailly,financial,PEA,"62,269 EUR",,,,,
Josette Durrieu,financial,PEA,,"120,08 EUR",,,,
Daniel Dubois,financial,PEA actions AXA,,NÉANT,,,,
Daniel Dubois,financial,BNP,,NÉANT,,,,
Daniel Dubois,financial,Crédit agricole,492 EUR de parts Crédit Agricole suite emprunt,NÉANT,,,,
Daniel Dubois,financial,Vinci,,NÉANT,,,,
René-Paul Savary,financial,PEA Air Liquide,"7321,56 EUR",185 EUR,,,,
Alain Chatillon,financial,PEA Banque Courtois,260368 EUR,NÉANT,,,,
Jean-Claude Carle,financial,PEA BNP,20597 EUR, -397 EUR,,,,
Bruno Gilles,financial,PEA CIC,56471 EUR,Plus value 'latente' 1592 EUR,,,,
Dominique Gillot,financial,PEA compte titre du 12/12/06,"956,00 EUR",,,,,
Jacques Genest,financial,PEA Crédit Agricole,9820 EUR,,,,,
Alain Rousset,financial,PEA Crédit Mutuel,NÉANT,"45760,90 EUR",,,,
Jean-Claude Carle,financial,PEA Crédit mutuel,50466 EUR,0 EUR,,,,
Dominique Gillot,financial,PEA du 23/9/05,"535,96 EUR",,,,,
René-Paul Savary,financial,PEA EDF,"1838,16 EUR",90 EUR,,,,
François Bonhomme,financial,PEA Invest (HSBC),103400 EUR,NÉANT,,,,
Gérard Bailly,financial,PEA Mr Bailly,79081 EUR,,,,,
Jérôme Bignon,financial,PERIAL,264281 EUR,NÉANT,,,,
Isabelle Debré,financial,Pernod-ricard,3380 EUR,,,,,
Isabelle Debré,financial,Peugeot S.A,"1909,95 EUR",,,,,
Lionel Tardy,financial,Président de la S.A.S LTI (Lionel Tardy Informatique) depuis le 01/01/2000,,,Voir ma déclaration de patrimoine,,,
Gérard Longuet,financial,Président de Sokrates Group,99%,"Ni jetons ni dividendes, à la date de ce jour",NÉANT,,,
Alain Gest,financial,PROSPORT 3,5% capital social,NÉANT,,,,
Alain Gest,financial,PROSPORT SA,10% capital social depuis 1990,35000 EUR par an (dividendes),,,,
Philippe Leroy,financial,PSC CL SAULNOIS,"139,50 EUR (93 actions à 1,50 EUR)",,,,,
Arnaud Viala,financial,Publication à venir,Publication à venir,Publication à venir,,,,
Bernard Delcros,financial,Publication à venir,Publication à venir,Publication à venir,,,,
Carole Delga,financial,Publication à venir,Publication à venir,Publication à venir,,,,
Guy Bailliart,financial,Publication à venir,Publication à venir,Publication à venir,,,,
Marie Le Vern,financial,Publication à venir,Publication à venir,Publication à venir,,,,
Pierre Ribeaud,financial,Publication à venir,Publication à venir,Publication à venir,,,,
Raymond Vall,financial,Publication à venir,Publication à venir,Publication à venir,,,,
Anne Chain-Larché,financial,Publication à venir,,,,,,
Alain Chatillon,financial,RECAP SA,20000 EUR,800 EUR,,,,
Jean-Marc Gabouty,financial,Régie Plus,1900 EUR,NÉANT,,,,
Simon Sutour,financial,Renault,3056 EUR,94 EUR,Actions détenues dans  PEA  en 2014,,,
Arnaud Leroy,financial,Restaurant Clube de Jornalistas (Lisbonne),5000 EUR,NÉANT,,,,
François de Rugy,financial,REXEL,"1150,8 EUR (60 actions)",,,,,
Franck Reynier,financial,RFM (Société civile au capital de 1 000 EUR),90%,,,,,
Franck Riester,financial,RIESTER AUTOMOBILES SA,"8 actions (5 en pleine propriété et 3 en nue propriété), soit 0,5 % du capital social, à 200 EUR l'action en pleine propriété","Revenu net fiscal 2013 : 12 927,72 EUR",Rémunération stable sur les 5 ans,,,
Franck Riester,financial,RIESTER CHATEAU SA,2 actions (1 en pleine propriété et 1 en nue propriété) à 200 EUR l'action en pleine propriété,"Revenu net fiscal 2013 : 16 993,44 EUR",Rémunération stable sur les 5 ans,,,
Franck Riester,financial,RIESTER SA,329 actions en pleine propriété et 489 actions en nue-propriété sur 1600 actions (soit environ 51%) à 820 EUR l'action en pleine propriété,"Revenu net fiscal 2013 : 26 306,28 EUR et voiture Peugeot de fonction",Rémunération stable sur les 5 ans,,,
Jean-pierre Leleux,financial,RIVIERA CREDIT SERVICES,11010 EUR soit 22% du capital,NÉANT,,,,
Serge Dassault,financial,ROND POINT IMMOBILIER,,2013 : 116 EUR pour le couple (dividende brut net de prélèvements sociaux),Pour mémoire,,,
Meyer Habib,financial,S.A Meyer's (Société Holding) possède Vendraye S.A,2200000 Eur par an,44000 EUR par an,Salaire + Prime indiqués précédemment 1° - 250 000 FF valeur constitution,,,
Gérard Charasse,financial,S.C.I,500 EUR (apport capital part sociale S.C.I),NÉANT,,,,
Jean Grellier,financial,S.E.M La Fabrique Régionale du Bocage,"Capital 1000,00 EUR",NÉANT,,,,
Michel Sordi,financial,S.G.I.   SAS,525000 EUR,NÉANT,,,,
Paul Giacobbi,financial,SA FEMU QUI (société de capital risque régional),"274,41 EUR",NÉANT,,,,
Ladislas Poniatowski,financial,SA Galli Cot,92 000 EUR,NÉANT,,,,
Marie Mercier,financial,SA GCEP,"55000 EUR soit 2453 actions soit 15,27 % du capital",,,,,
Jean-Louis Dumont,financial,SA HLM,"152,4 EUR (10 actions détenues de 100 Francs)","Dissolution en cours, pas de récupération des actions",,,,
Marc Dolez,financial,SA HLM SIA HABITAT 67 avenue des Potiers CS 80649 59506 DOUAI Cedex,Valeur totale: 390 EUR (valeur nominale des 10 actions: 39 EUR),10 actions qui ont été cédées le 11/01/2014,,,,
Charles-Ange Ginesy,financial,SA Plaza Chamois,"558725 EUR (97,7%)",NÉANT,,,,
François Commeinhes,financial,SA PST,43000 EUR,NÉANT,,,,
Pierre-Yves Collombat,financial,SA SB Conseil Restaurant Draguignan,110000 EUR,NÉANT,,,,
Sophie Dion,financial,SA téléphérique Pleny,9200 EUR,460 EUR,,,,
Luc Chatel,financial,Saint Dizier participation,"10 actions en pleine propriété à 1,8 EUR, 41310 actions en nue propriété à 1,80 74 358 EUR, Evaluation 80% Soit 59 486 EUR",,,,,
Isabelle Debré,financial,Saint-Gobain,"1368,15 EUR",,,,,
Simon Sutour,financial,Saint-Gobain,1343 EUR,49 EUR,Actions détenues dans  PEA  en 2014,,,
Simon Sutour,financial,Sanofi,2547 EUR,84 EUR,Actions détenues dans  PEA  en 2014,,,
Josette Durrieu,financial,SANOFI-AVENTIS (27 titres),,"2057,94 EUR",,,,
Bruno Sido,financial,Sarl,100%,23366 EUR,,,,
Sonia Lagarde,financial,SARL  ARENCO,199/200,2012 : 2977500 FCIP,,,,
Patrick Vignal,financial,SARL Acquaforme,50000 EUR pour 50% du capital,NÉANT,,,,
Rémy Pointereau,financial,SARL Agrotech Services,"39 parts sur 50 parts - Valeur nominale : 152,44€ - Pas de valeur vénale connue",Revenu agricole Cf § n°1 et n°2,,,,
Jean-Pierre Cantegrit,financial,SARL ALCANTE,"60 parts (4573,47 EUR)",Aucune (gestion de la location d'un local commercial),,,,
Thierry Robert,financial,SARL BTPOI,500 EUR,0,,,,
Thierry Robert,financial,SARL BTPOI,500 EUR,0,,,,
Sophie Primas,financial,SARL Chateau de Mery,124000 EUR d'apport initial (10113 parts à 1 EUR de VN),3134 EUR,,,,
Thierry Robert,financial,SARL CLOI,500 EUR,0,,,,
David Comet,financial,Sarl COGIR,2450000 EUR,NÉANT,,,,
Paola Zanetti,financial,SARL Crée en 1999,Capital de départ fixé à 7500 EUR représentant 500 parts. Je détiens 63 parts à 40 EUR la part soit 2520 EUR,,,,,
Thani Mohamed Soilihi,financial,SARL DELTAH IMMO,1200 EUR,,,,,
Jacqueline Gourault,financial,SARL Élevage du Loir,"71614,33 EUR",NÉANT,,,,
François Grosdidier,financial,Sarl Escales du Monde,100 parts sociales à 100 EUR soit 10000 EUR de valeur nominale mais valeur bilancielle nulle.,Aucune depuis la création de la Sarl,,,,
Michel Vergoz,financial,SARL Evasion Réunion Production,240000 EUR (40%),,,,,
Thierry Robert,financial,SARL H2E  (Anciennement SARL Robert BTP),    - 84 931 EUR,0 €,,,,
Patrice Prat,financial,SARL HORTUS CONSEIL (50% des parts),750 EUR,NÉANT,,,,
Pierre Charon,financial,SARL Janus Consultants,"267,45 EUR",2009 : 72.000 EUR (Dividendes),,,,
Pierre Charon,financial,SARL Janus Consultants,"267,45 EUR",2010 : 81.144 EUR,,,,
Pierre Charon,financial,SARL Janus Consultants,"267,45 EUR",2011 : 54.000 EUR,,,,
Pierre Charon,financial,SARL Janus Consultants,"267,45 EUR",2012 : 72.072 EUR,,,,
Pierre Charon,financial,SARL Janus Consultants,"267,45 EUR",2013 : 31.500 EUR,,,,
Caroline Cayeux,financial,SARL LA BORDE,196 670 EUR,NÉANT,,,,
Thierry Robert,financial,SARL Les Cases Créoles (Anciennement SCCV  Les Cases Créoles),1000 EUR,NÉANT,,,,
Pierre Médevielle,financial,Sarl LIBOTO,2500 EUR,NÉANT,,,,
Daniel Chasseing,financial,SARL Loncham Chalberet,90000 EUR,NÉANT,,,,
François Commeinhes,financial,Sarl LOUMI,20000 EUR,NÉANT,,,,
Philippe Vitel,financial,SARL LYSA,12000 EUR valeur actuelle 14 252 EUR,NÉANT,,,,
Dominique Tian,financial,SARL MAISON DE REPOS ET DE RETRAITE CENTRE DE GERONTOLOGIE LE CHATEAU DE VILLEMOISSON,"150 EUR soit 0,0028%",2013 : 14 EUR (Dividendes),,,,
Catherine Génisson,financial,SARL Motoroom,5000 EUR voir annexe n°4,NÉANT,,,,
Patrice Prat,financial,SARL MUTATIO PLAXIS,2000 EUR (capital social),NÉANT,,,,
Jean-Pierre Barbier,financial,SARL Pharmacie Jean-Pierre Barbier,2013 : 1450000 EUR,2013 : 13500 EUR par an,cf 2°,,,
Jean-Pierre Barbier,financial,SARL Pharmacie Jean-Pierre Barbier,2015 : 1540000 EUR,2015 :  36000 EUR par an,,,,
Jean-pierre Vogel,financial,SARL PHV,"16,66% du capital",NÉANT,,,,
Alain Chatillon,financial,SARL RAMSES,3903426 EUR,18000 EUR,,,,
Alain Chatillon,financial,SARL RAMSES,3903426 EUR,19604 EUR (dividende 2013)          ,,,,
Thierry Robert,financial,SARL Robert Immobilier,222 478 EUR,NÉANT,,,,
Thierry Robert,financial,SARL Robert Promotion,-11 967 EUR,NÉANT,,,,
Thierry Robert,financial,SARL SRCL,        - 95 628 EUR,NÉANT,,,,
Isabelle Debré,financial,Sartor.Stedim BI,9860 EUR,,,,,
Charles de Courson,financial,SAS AGRIGAL (production d'énergie par Biogaz) 7 rue du haut de la ville 51330 Somme Yeure,"6900 EUR 1,6 % du capital (502000 EUR)",NÉANT,,,,
Philippe Briand,financial,SAS Arche,120000000 EUR,101643 EUR par an (salaire),,,,
Bertrand Pancher,financial,SAS ARCHIMEST,"2,83 EUR",2012 : 28010 EUR,,,,
Jean-pierre Vogel,financial,SAS Cabinet JP Vogel,100% du capital,NÉANT,,,,
Guillaume Chevrollier,financial,SAS CERIPAR,2000 EUR (20 parts de 100 EUR acquises en 2006),,,,,
Jérôme Chartier,financial,SAS Editions les Entretiens,500 EUR (100% du capital),NÉANT,,,,
Bertrand Pancher,financial,SAS EUROPEENNE D'ARCHIVAGE,"410,30 EUR",NÉANT,,,,
François Commeinhes,financial,SAS FBS,68000 EUR,NÉANT,,,,
Guillaume Chevrollier,financial,SAS GESPAR,1000 (10 parts de 100 EUR acquises en 2007),,,,,
Charles de Courson,financial,SAS INITIATIVES FORET (valorisation du bois) Locmet - 51200 Epernay,"1500 EUR soit 1,6 % du capital (320000 EUR)",NÉANT,,,,
René-Paul Savary,financial,SAS Le Soleil,250 EUR,NÉANT,,,,
Jacques Mézard,financial,SAS The Good Factory,30000 EUR,NÉANT,,,,
Jean-François Mayet,financial,SAUIB 18,NÉANT,0 EUR 'à ce jour',,,,
Jean-François Mayet,financial,SAUIB 36,NÉANT,0 EUR 'à ce jour',,,,
Jean-François Mayet,financial,HDS,NÉANT,,,,,
Caroline Cayeux,financial,SC de MARS IV,11378799 EUR,12000 EUR par an,1000 EUR par mois,,,
Guy-Dominique Kennel,financial,SC Garage Badina Société à responsabilités limitées (SARL),1358 EUR,NÉANT,90 parts sur 7196,,,
Alain Chatillon,financial,SC RE,33675 EUR,3975 EUR (dividende 2013),,,,
Alain Chatillon,financial,SC SOBEK,33675 EUR,3975 EUR (dividende 2013),,,,
Denis Baupin,financial,SCA Energie Partagée Investissement (depuis 2013) ( Fonds solidaire de développement de projets citoyens de production d'énergie renouvelable),500 EUR (soit 5 actions),NÉANT,,,,
Gérard César,financial,SCCA bretagne,500 EUR,NÉANT,,,,
Rémy Pointereau,financial,SCEA,694 parts sur 712 parts - Valeur nominale : 152€ - Valeur vénale juillet 2012 : 577 €,Revenu agricole Cf § n°1 et n°2,,,,
Antoine Herth,financial,SCEA,6201/12400 parts (Capital : 124 000 EUR),"50,01% du résultat",,,,
Alain Chatillon,financial,SCEA Moncausson,980 EUR,,,,,
Axel Poniatowski,financial,SCEA.... (Exploitation oléicole 100% familiale),57% de environ 700 000 EUR = 399 000 EUR,NÉANT,,,,
Isabelle Debré,financial,Schneider Electric,6071 EUR,,,,,
Gérard Larcher,financial,SCI,1/3 du capital,Revenus fonciers,,,,
Barbara Pompili,financial,SCI,15000 EUR,1500 EUR par an,,,,
Bérengère Poletti,financial,SCI,770 EUR,NÉANT,Bien de communauté non partagé pour 100 %,,,
Bernard Lalande,financial,SCI,320000 EUR,NÉANT,,,,
Bertrand Pancher,financial,SCI,3 EUR,NÉANT,,,,
Bertrand Pancher,financial,SCI,23 EUR,NÉANT,,,,
Bertrand Pancher,financial,SCI,250 EUR PS et environ 25000 EUR actif,NÉANT,,,,
Camille de Rocca Serra,financial,SCI,"91030 EUR (48,68%)",NÉANT,,,,
Caroline Cayeux,financial,SCI,7 094 809 EUR,NÉANT,,,,
Charles-Ange Ginesy,financial,SCI,229800 EUR (33.33%),NÉANT,,,,
Charles-Ange Ginesy,financial,SCI,346500 EUR (33.33%),NÉANT,,,,
Claude Bartolone,financial,SCI,50000 EUR,NÉANT,,,,
Corinne Imbert,financial,SCI,5068 EUR (90% des parts),revenus fonciers affectés au compte courant de la SCI,,,,
Daniel Chasseing,financial,SCI,1/3 de la SCI,2013 : 3466 EUR  par an,Revenu net fiscal (1/3) 2013 : 3466 EUR - 1/3 de la SCI évaluée au total à,,,
Daniel Chasseing,financial,SCI,1/3 de la SCI,2012 : 3533 EUR par an,Revenu net fiscal (1/3) 2012 : 3533 EUR - 1/3 de la SCI évaluée au total à,,,
Daniel Chasseing,financial,SCI,1/3 de la SCI,2011 : 3544 EUR par an,Revenu net fiscal (1/3) 2011 : 3544 EUR - 1/3 de la SCI évaluée au total à,,,
Daniel Chasseing,financial,SCI,1/3 de la SCI,2010 : 3228 EUR par an,Revenu net fiscal (1/3) 2010 : 3228 EUR - 1/3 de la SCI évaluée au total à,,,
Daniel Chasseing,financial,SCI,1/3 de la SCI,2009 : 2782 EUR par an,Revenu net fiscal (1/3) 2009 : 2782 EUR - 1/3 de la SCI évaluée au total à,,,
David Habib,financial,SCI,"10 parts en pleine propriété, valeur unitaire 32500 EUR. Valeur unitaire en nue-propriété 22750 EUR. Je dispose de 20% en pleine propriété et 10% en nue propriété soit 87750 EUR",,Capital de 152.45 EUR,,,
Denys Robiliard,financial,SCI,300000 EUR,20000 EUR,Revenu foncier,,,
Didier Mandelli,financial,SCI,160 EUR / 50% plus de bien dans le patrimoine,NÉANT,,,,
Dominique Tian,financial,SCI,1200000 EUR,,,,,
Dominique Tian,financial,SCI,"121,80 EUR",,,,,
Dominique Tian,financial,SCI,175 EUR,,,,,
Dominique Tian,financial,SCI,"495,70 EUR",,,,,
Francis Vercamer,financial,SCI,163200 EUR,NÉANT,,,,
Gilbert Collard,financial,SCI,600 000 EUR (99% des parts ),2012: 26 036 EUR,Revenu foncier,,,
Guillaume Arnell,financial,SCI,180 EUR,NÉANT,,,,
Henri Tandonnet,financial,SCI,2 parts 2/400e environ 10 000 Frs la part,NÉANT,,,,
Jacky Deromedi,financial,SCI,58719 EUR,NÉANT,,,,
Jean-Claude Bouchet,financial,SCI,2100,NÉANT,,,,
Jean-Claude Bouchet,financial,SCI,2956,NÉANT,,,,
Jean-Claude Bouchet,financial,SCI,34600,NÉANT,,,,
Jean-Léonce Dupont,financial,SCI,"99,00%",6553 EUR par an,6553 EUR,,,
Jean-Léonce Dupont,financial,SCI,"25,00%",-21493 EUR par an,-21493 EUR,,,
Jean-Léonce Dupont,financial,SCI,"50,00%",12655 EUR par an,12655 EUR,,,
Jean-Luc Bleunven,financial,SCI,Compte associé 100000 EUR,NÉANT,,,,
Jean-Michel Clément,financial,SCI,100% du capital : 88 072 EUR,NÉANT,,,,
Jean-Michel Clément,financial,SCI,50% du capital : 15 200 EUR,NÉANT,,,,
Jean-Pierre Gorges,financial,SCI,7000 EUR,NÉANT,,,,
Jean-Pierre Gorges,financial,SCI,SCI en sommeil,NÉANT,,,,
Jean-Pierre Gorges,financial,SCI,SCI en sommeil,NÉANT,,,,
Jean-Pierre Gorges,financial,SCI,50 EUR,NÉANT,,,,
Jean-Pierre Grand,financial,SCI,50%,2014 - 57500 EUR dividendes,,,,
Jean-pierre Vogel,financial,SCI,"26,19% du capital",NÉANT,,,,
Joseph Castelli,financial,SCI,10000 EUR,Dissolution le 05/11/2012 Liquidation en cours,,,,
Kheira Bouziane-Laroussi,financial,SCI,500 EUR,NÉANT,,,,
Marie Mercier,financial,SCI,20000 EUR soit 10% du capital et 6100 parts sociales,NÉANT,,,,
Marie-Hélène Des Esgaulx,financial,SCI,1000 EUR,NÉANT,,,,
Marion Maréchal-Le Pen,financial,SCI,61 000 EUR,,,,,
Marion Maréchal-Le Pen,financial,SCI,6100 EUR,,,,,
Marion Maréchal-Le Pen,financial,SCI,1800 EUR,,,,,
Nathalie Nieson,financial,SCI,6000 EUR,NÉANT,,,,
Noël Mamère,financial,SCI,200 EUR,NÉANT,,,,
Noël Mamère,financial,SCI,8125 EUR,NÉANT,,,,
Philippe Gomes,financial,SCI,Détention à 99%,NÉANT,Valeur vénale nulle à ce jour (La SCI est propriétaire d'un terrain sur lequel elle construit une maison d'habitation (construction en cours). L'acquisition de la Sci s'est faite au moyen d'un emprunt bancaire de 50 MF à l'origine. La construction est financée par un emprunt bancaire de 75 MF et un apport personnel de 67 MF) Détention 99%,,,
Philippe Gomes,financial,Sci,133000000 EUR - Détention à 100 %,NÉANT,(La valeur mentionnée correspond à la valeur brute des immobilisations détenues (219 Millions) diminuée du capital restant dû sur les financements bancaires (86 Millions) sur la base des comptes au 30/09/2013) Détention 100 %,,,
Philippe Vigier,financial,SCI,100% capital,NÉANT,,,,
Philippe Vigier,financial,SCI,50% capital,NÉANT,,,,
René-Paul Savary,financial,SCI,"50,00%",NÉANT,estimation en cours des loyers 2013,,,
Richard Ferrand,financial,SCI,,NÉANT,,,,
Serge Dassault,financial,SCI,5523166 EUR,NÉANT,,,,
Sylvie Andrieux,financial,SCI,120000 EUR,NÉANT,,,,
Sylvie Andrieux,financial,SCI,230000 EUR,NÉANT,,,,
Sylvie Andrieux,financial,SCI,2500 EUR,NÉANT,,,,
Thani Mohamed Soilihi,financial,SCI,900 EUR,,,,,
Thierry Robert,financial,SCI,,NÉANT,,,,
Thierry Robert,financial,SCI,1429178 EUR,NÉANT,,,,
Thierry Robert,financial,SCI,589840 EUR,NÉANT,,,,
Thierry Robert,financial,SCI,794750 EUR,NÉANT,,,,
Victorin Lurel,financial,SCI,260 500 EUR,NÉANT,,,,
Yannick Moreau,financial,SCI,375 EUR (Participation au capital à la création),,,,,
Bérengère Poletti,financial,SCI,70 000 EUR,NÉANT,,,,
Daniel Fasquelle,financial,SCI,5 EUR (1 part sur 77750 EUR),NÉANT,,,,
Dominique Tian,financial,SCI,120 EUR (10%),2013 : Néant (Revenus attribués),,,,
Dominique Tian,financial,SCI,2500000 EUR (100%),2013 : 78 906 EUR (Revenus attribués),,,,
Dominique Tian,financial,SCI,1000000 EUR,2013 : 123668 EUR (Revenus attribués),,,,
Dominique Tian,financial,SCI,2500000 EUR,2013 : 38002 EUR (Revenus attribués),,,,
Dominique Tian,financial,SCI,2675000 EUR,2013 : 108544 EUR (Revenus attribués),,,,
Dominique Tian,financial,SCI,20 EUR,2013 : 3887 EUR (Revenus attribués),,,,
Franck Reynier,financial,SCI,5% des parts (Société civile au capital de 10 000 EUR),En 2012 : 8 039 EUR,,,,
Jean-Michel Clément,financial,SCI,20 863 EUR (50% du capital),NÉANT,,,,
Patrice Prat,financial,SCI,30000 EUR (parts détenues à 50%),NÉANT,Bien familial -  Valeur du bien ~ 60000 EUR,,,
Thierry Robert,financial,SCI,1000 EUR,NÉANT,,,,
Thierry Robert,financial,SCI,2 111 234 EUR,NÉANT,,,,
Yves Albarello,financial,SCI,7500 EUR,NÉANT,,,,
Yves Albarello,financial,SCI,762 EUR,Variable en fonction des loyers encaissés,,,,
Bernard Cazeau,financial,SCI 'anonyme',500 EUR,NÉANT,"Créée avec mon fils X pour acquisition fusion d'un bateau à moteur de plaisance - Capital de 1000 EUR, 1/2 pour moi-même",,,
Michel Fontaine,financial,SCI 'x',576000 EUR,2012: 69224 EUR (revenu foncier),,,,
Michel Fontaine,financial,SCI 'y',79000 EUR,2012: 5781 EUR (revenu foncier),,,,
Alain Chatillon,financial,SCI 'y1',30 EUR,,,,,
Alain Chatillon,financial,SCI 'y2',5417 EUR,225 EUR (revenu foncier 2013),,,,
Alain Chatillon,financial,SCI 'y3',17088 EUR,2697 EUR (revenu foncier 2013),,,,
Alain Chatillon,financial,SCI 'y4',9000 EUR,34526 EUR (revenu foncier 2013),,,,
Hugues Fourage,financial,SCI (Acquisition et location biens immobiliers),103 773 EUR (au 31/12/2012),NÉANT,,,,
Jean-Pierre Cantegrit,financial,SCI (censuré),1 050 000 EUR,Perception de loyers (voir déclaration de revenus),,,,
Jean-Pierre Cantegrit,financial,SCI (censuré),1 220 000 EUR,NÉANT,,,,
Jean-Pierre Cantegrit,financial,SCI (censuré),550 000 EUR,NÉANT,,,,
Jean-Pierre Cantegrit,financial,SCI (censuré),20 000 EUR,NÉANT,,,,
Jean-Pierre Cantegrit,financial,SCI (censuré),17 562 EUR,Perception d'un droit d'affichage (voir déclaration de revenus),,,,
François Commeinhes,financial,SCI ?,77000 EUR,NÉANT,,,,
François Commeinhes,financial,SCI ?,5000 EUR,NÉANT,,,,
Jacky Deromedi,financial,SCI 1% des parts,1200 EUR,NÉANT,,,,
Jacky Deromedi,financial,SCI 100% des parts,1850000 EUR,NÉANT,,,,
Jacky Deromedi,financial,SCI 70% des parts,441000 EUR,NÉANT,,,,
Josette Durrieu,financial,SCI Crédit agricole,Apport : 10 EUR sur capital initial 1000 EUR le 27/06/2008,NÉANT,Associée DURRIEU Josette,,,
Paola Zanetti,financial,SCI Créée en octobre 2003,350 EUR (350 à 1 EUR la part),,,,,
Olivier Dassault,financial,SCI dont le siège est à PARIS,"31919,00 EUR",31.420 EUR (revenus fonciers 2012),,,,
Michel Bouvard,financial,SCI familiale,NÉANT,Moins de 100 EUR par an,Voir déclaration de patrimoine < 100 EUR par an,,,
Patrick Hetzel,financial,SCI familiale,20000 EUR,NÉANT,,,,
Patrick Hetzel,financial,SCI familiale,40000 EUR,NÉANT,,,,
Axel Poniatowski,financial,SCI familiale d'acquisition et d'administration de biens fonciers,550 000 EUR (50% de environ 1 100 000 EUR),NÉANT,,,,
Dominique Dord,financial,Sci familiale et patrimoniale (voir déclaration de patrimoine),,,,,,
Philippe Bonnecarrère,financial,SCI propriétaire de l'immeuble dans lequel mon épouse exerce son activité de médecin,1/2 part = 75000 EUR,2013 : 2566 EUR par an,L'autre moitié est détenue par mon épouse),,,
Philippe Bonnecarrère,financial,SCI propriétaire de l'immeuble professionnel d'avocat,"1/3 parts, 2033 parts à 89,18 EUR= 181302,94 EUR",2013: 5728 EUR par an,,,,
Philippe Gomes,financial,SCI SCI familiale constituée avec …,"354 000 EUR, détention à 60 %",NÉANT,Valeur estimée équivalent à la quote-part de la valeur d'acquisition,,,
Olivier Dassault,financial,"SCI, société civile immobilière dont le siège est à PARIS",10000EUR,,,,,
Olivier Dassault,financial,"SCI, société civile immobilière dont le siège est à PARIS",465000 EUR,2013 : 105.025 EUR,Revenus fonciers,,,
Olivier Dassault,financial,"SCI, société civile immobilière dont le siège est à PARIS (75116)",62100 EUR,2012 :  61.600 EUR,Revenus fonciers,,,
Jacky Deromedi,financial,SCIA,219145 EUR,NÉANT,,,,
René-Paul Savary,financial,SCM,137 parts sur 412,NÉANT,,,,
Yves Foulon,financial,SCP AVOCAGIR,Une part en industrie,,,,,
Philippe Bonnecarrère,financial,SCP cabinet d'avocat BONNECARRERE GIL SERVIERES,1/3 parts = 111792 EUR,"Comme … telle que décrite, comme avocat au titre des dividende",,,,
Philippe Houillon,financial,SCP d'avocats PETIT MARSOT HOUILLON et associés (cabinet d'avocats),"88 397 EUR (1204 parts sur 8588 soit 14,02% à 73.42 EUR la part)",NÉANT,Aucune rémunération distincte des revenus professionnels déclarés au paragraphe 2 ci-dessus.,,,
Yann Galut,financial,SCP Galut Duivon Berthon,40% (Capital de la SCP de 235 000 EUR),2012 : 67119 EUR,,,,
Denys Robiliard,financial,SCP ROBILIARD,50000 EUR,NÉANT,société fiscalement transparente,,,
Michel Fontaine,financial,SELARL Centre Imagerie Médicale,544000 EUR,2012: 171215 EUR (salaire gérant),,,,
Gilbert Collard,financial,SELARL COLLARD et Associés (société d'avocats ),227 664 EUR (84% des parts ),En 2012 393 599 EUR,,,,
Jacques Bigot,financial,SELARL d'avocats,100 EUR,NÉANT,,,,
Annie Genevard,financial,SELARL Genevard-Vuilley Associés à 50%,10 000 EUR (25% du capital),,,,,
Michel Bouvard,financial,SET AM  Société d'exploitation téléphérique Tarentaise Maurienne (Val Thorens),1 action comme administrateur,10 EUR par an,. Environ 10 EUR de dividende annuel,,,
Philippe Dominati,financial,SID PARIS DEMAIN SARL,,NÉANT,,,,
Isabelle Debré,financial,Siemens AG (DEU),"6165,12 EUR",,,,,
Catherine Lemorton,financial,SNC Lemorton -Pillas,50%,- 4956 EUR (perte),,,,
Pierre Médevielle,financial,SNC Pharmacie centrale de Boulogne,"150000 EUR, 1/3 du capital",NÉANT,,,,
Pierre Frogier,financial,SNC Pierre Frogier - Marie Noelle Themereau (Agence Générale),840000 EUR,,,,,
Dominique Raimbourg,financial,Soc des Productions RAIMBOURG Soc de production cinématographique en sommeil,25000 EUR,0,,,,
Bernard Lalande,financial,Société à responsabilités limitées (SARL) Cabinet Lalande et associés,624000 EUR,10250 EUR net mensuel et 15 640 EUR de dividendes,,,,
Charles de Courson,financial,Société anonyme VITRY HABITAT = société privée d'HLM située à Vitry Le François (Marne),"190 EUR (valeur comptable) soit 0,5 % (5 actions sur 1050 actions)",0,,,,
Bruno Sido,financial,Société Civile,100%,2013 : 70066 EUR par an,,,,
Michel Raison,financial,Société d'abattage des Vosges Saônoises,100 EUR,NÉANT,,,,
David Douillet,financial,Société DAVAL INVEST,,,POUR MEMOIRE,,,
David Douillet,financial,Société Double D,100000 EUR,NÉANT,,,,
Olivier Dassault,financial,"Société eGarming, société dont le siège est à PARIS (75008)",,,Mémoire,,,
