name,departement,mandat,parti,groupe
Valéria Faure-Muntian,42,Député,REM,REM
Ugo Bernalicis,59,Député,PG,FI
Typhanie Degois,73,Député,REM,REM
Thomas Mesnier,16,Député,REM,REM
Thierry Michels,67,Député,REM,REM
Taurine Bénédicte,9,Député,FI,FI
Séverine Gipson,27,Député,REM,REM
Sébastien Cazenove,66,Député,REM,REM
Sylvie Charrière,93,Député,REM,REM
Sylvain Waserman,67,Député,MoDem,MoDem
Stéphane Testé,93,Député,REM,REM
Stéphane Peu,93,Député,PCF,GDR
Stanislas Guerini,75,Député,REM,REM
Sophie Panonacle,33,Député,REM,REM
Sophie Beaudouin-Hubière,87,Député,REM,REM
Sonia Krimi,50,Député,DIV,REM
Sira Sylla,76,Député,REM,REM
Serge BABARY,37,Sénateur,LR,LR
Saïd Ahamada,13,Député,REM,REM
Sandrine Mörch,31,Député,REM,REM
Sabine Rubin,93,Député,La France insoumise,FI
Rémy Rebeyrotte,71,Député,REM,REM
Roland Lescure,99,Député,REM,REM
Rodrigue Kokouendo,77,Député,REM,REM
Pieyre-Alexandre Anglade,99,Député,REM,REM
Pierre Person,75,Député,REM,REM
Pierre Medevielle,31,Sénateur,UDLR,UC
Pierre Cabaré,31,Député,REM,REM
Philippe Michel-Kleisbauer,83,Député,MoDem,MoDem
Philippe Chassaing,24,Député,REM,REM
Philippe ADNOT,10,Sénateur,UDRL,RASNAG
Perrine Goulet,58,Député,REM,REM
Paul Molac,56,Député,REM,REM
Patricia Mirallès,34,Député,REM,REM
Patricia MORHET-RICHAUD,5,Sénateur,LR,LR
Patricia Gallerneau,85,Député,MoDem,MoDem
Patrice Anato,93,Député,REM,REM
Olivier Damaisin,47,Député,REM,REM
Olivia Grégoire,75,Député,REM,REM
Nicole Gries-Trisse,57,Député,REM,REM
Nicole Dubré-Chirat,49,Député,REM,REM
Nicolas Démoulin,34,Député,REM,REM
Nicolas Dupont-Aignan,91,Député,DLF,NI
Nelly Tocqueville,76,Sénateur,PS,SOC
Nathalie Sarles,42,Député,REM,REM
Natalia Pouzyreff,78,Député,REM,REM
Nassimah DINDAR,971,Sénateur,UDI,UC
Nadia SOLLOGOUB,58,Sénateur,NI,UC
Nadia Hai,78,Député,REM,REM
Nadia Essayan,18,Député,MoDem,MoDem
NOELLE RAUSCENT,89,Sénateur,REM,REM
Mustapha Laabid,35,Député,REM,REM
Muriel Ressiguier,34,Député,PG,FI
Monique Limon,38,Député,REM,REM
Monique Iborra,31,Député,REM,REM
Mickaël Nogal,31,Député,REM,REM
Michèle de Vaucouleurs,78,Député,MoDem,MoDem
Michèle Peyron,77,Député,REM,REM
Michèle Crouzet,89,Député,REM,REM
Michelle GREAUME,59,Sénateur,PCF,CRCE
Michel Raison,70,Sénateur,LR,LR
Michel Lauzzana,47,Député,REM,REM
Michel Larive,9,Député,PG,FI
Michel Castellani,2B,Député,PaC,NI
Michel Amiel,13,Sénateur,REM,REM
Maxime Minot,60,Député,LR,LR
Maurice ANTISTE,972,Sénateur,PGM,SOC
Matthieu Orphelin,49,Député,REM,REM
Mathilde Panot,94,Député,La France insoumise,FI
Martine Wonner,67,Député,REM,REM
Marion Lenne,74,Député,REM,REM
Marielle de Sarnez,75,Député,MoDem,MoDem
Marie-Pierre Rixain,91,Député,REM,REM
Marie-Christine Verdier-Jouclas,81,Député,REM,REM
Marie-Ange Magne,87,Député,REM,REM
Marie Lebec,78,Député,REM,REM
Marie Guévenoux,91,Député,REM,REM
Marc Lamenie,8,Sénateur,LR,LR
Mansour Kamardine,976,Député,LR,LR
MICHEL DAGBERT,62,Sénateur,PS,SOC
M'jid El Guerrab,99,Député,SE,NI
Ludovic Mendes,57,Député,REM,REM
Loïc Prud'homme,33,Député,La France insoumise,FI
Loïc Kervran,18,Député,REM,REM
Lionel Causse,40,Député,REM,REM
Laëtitia Saint-Paul,49,Député,REM,REM
Laëtitia Romeiro Dias,91,Député,REM,REM
Laurianne Rossi,92,Député,REM,REM
Laurent Saint-Martin,94,Député,REM,REM
Laurent Garcia,54,Député,MoDem,MoDem
Laurent Furst,67,Député,LR,LR
Laurence Vanceunebrock-Mialon,3,Député,REM,REM
Laurence Trastour-Isnart,6,Député,LR,LR
Laurence Gayte,75,Député,REM,REM
Laurence Dumont,14,Député,PS,NG
Laurence Cohen,94,Sénateur,PCF,CRCE
LAURENT LAFON,94,Sénateur,UDLR,UC
Jérôme Nury,61,Député,LR,LR
Jérôme Lambert,16,Député,PS,NG
Justine Benin,971,Député,DVG,MoDem
Joël Giraud,5,Député,REM,REM
José Évrard,62,Député,FN,NI
Josette Manin,972,Député,DVG,NG
Joseph Castelli,2B,Sénateur,PRG,RDSE
Jennifer de Temmerman,59,Député,REM,REM
Jeanine Dubié,65,Député,PRG,NI
Jean-Pierre SUEUR,45,Sénateur,PS,SOC
Jean-Pierre CORBISEZ,62,Sénateur,PCF,RDSE
Jean-Paul PRINCE,41,Sénateur,MoDem,UC
Jean-Paul Lecoq,76,Député,PCF,GDR
Jean-Paul EMORINE,71,Sénateur,NI,LR
Jean-Michel Mis,42,Député,REM,REM
Jean-Michel Jacques,56,Député,REM,REM
Jean-Michel Fauvergue,77,Député,REM,REM
Jean-Michel Clément,86,Député,REM,REM
Jean-Marie Fiévet,79,Député,REM,REM
Jean-Luc Mélenchon,13,Député,PG,FI
Jean-Luc Fugit,69,Député,REM,REM
Jean-Louis Masson,83,Député,LR,LR
Jean-Louis Bourlanges,92,Député,MoDem,MoDem
Jean-Jacques Panunzi,2A,Sénateur,LR,LR
Jean-Jacques Bridey,94,Député,REM,REM
Jean-Hugues Ratenon,974,Député,RE974,FI
Jean-Félix Acquaviva,2B,Député,PaC,NI
Jean-François Portarrieu,31,Député,REM,REM
Jean-François Parigi,77,Député,LR,LR
Jean-Claude TISSOT,42,Sénateur,PS,SOC
Jean-Charles Larsonneur,29,Député,REM,REM
Jacques Savatier,86,Député,REM,REM
Jacques Maire,92,Député,REM,REM
Jacques Krabal,2,Député,REM,REM
Jacqueline Dubois,24,Député,REM,REM
JOEL BIGOT,49,Sénateur,PS,SOC
Isabelle Florennes,92,Député,MoDem,MoDem
Hugues Renson,75,Député,REM,REM
Hubert Wulfranc,76,Député,PCF,GDR
Hubert Julien-Laferrière,69,Député,REM,REM
Hervé Saulignac,7,Député,PS,NG
Hervé Pellois,56,Député,REM,REM
Hervé Berville,22,Député,REM,REM
Gérard Menuel,10,Député,LR,LR
Gérard Cherpion,88,Député,LR,LR
Géraldine Bannier,53,Député,MoDem,MoDem
Guillaume Kasbarian,28,Député,REM,REM
Guillaume Gouffier-Cha,94,Député,REM,REM
Guillaume Chiche,79,Député,REM,REM
Grégory Galbadon,50,Député,REM,REM
Grégory Besson-Moreau,10,Député,REM,REM
Gisèle Biémouret,32,Député,PS,NG
Gilles Le Gendre,75,Député,REM,REM
George Pau-Langevin,75,Député,PS,NG
Gabriel Serville,973,Député,PSG,GDR
Frédérique Dumas,30,Député,REM,REM
Frédéric Descrozaille,94,Député,REM,REM
Frederique Alberto Helene Tuffnell,17,Député,REM,REM
Françoise Gatel,35,Sénateur,UDLR,UC
François Jolivet,36,Député,REM,REM
François Cormier-Bouligeon,18,Député,REM,REM
Francois Pillet,18,Sénateur,LR,LR
Franck Montaugé,32,Sénateur,PS,SOC
Florian Bachelier,35,Député,REM,REM
Florence Lasserre-David,64,Député,MoDem,MoDem
Florence Granjus,78,Député,REM,REM
Fiona Lazaar,95,Député,REM,REM
Fannette Charvier,25,Député,REM,REM
Fabienne Colboc,37,Député,REM,REM
Fabien Gouttefarde,27,Député,REM,REM
FRANCOIS NOEL BUFFET,69,Sénateur,LR,LR
Eric Bocquet,59,Sénateur,PCF,CRCE
Eliane ASSASSI,93,Sénateur,PCF,CRCE
Dominique WATRIN,62,Sénateur,PCF,CRCE
Dominique David,33,Député,REM,REM
Dominique Da Silva,95,Député,REM,REM
Dimitri Houbron,59,Député,REM,REM
Didier RAMBAUD,38,Sénateur,REM,REM
Didier Paris,21,Député,REM,REM
Didier Martin,21,Député,REM,REM
Didier Le Gac,29,Député,REM,REM
Denis Masséglia,49,Député,REM,REM
Delphine O,75,Député,REM,REM
Delphine Batho,79,Député,PS,NG
David Habib,64,Député,PS,NG
Danièle Obono,75,Député,La France insoumise,FI
Damien Pichereau,72,Député,REM,REM
Damien Adam,76,Député,REM,REM
DOMINIQUE THEOPHILE,971,Sénateur,REM,REM
Céline Calvez,92,Député,REM,REM
Célia de Lavergne,26,Député,REM,REM
Cécile Untermaier,71,Député,PS,NG
Cécile Rilhac,95,Député,MdP,REM
Cécile Muschotti,83,Député,REM,REM
Corinne Vignon,31,Député,REM,REM
Coralie Dubost,34,Député,REM,REM
Constance Le Grip,92,Député,LR,LR
Claude KERN,67,Sénateur,UDLR,UC
Claire Pitollat,13,Député,REM,REM
Claire O'Petit,27,Député,REM,REM
Claire Guion-Firmin,977_978,Député,DVD,LR
Christophe Jerretie,19,Député,REM,REM
Christian Hutin,59,Député,MRC,NG
Christelle Dubos,33,Député,REM,REM
Charlotte Lecocq,59,Député,REM,REM
Chantal DESEYNE,28,Sénateur,LR,LR
Cendra Motin,38,Député,REM,REM
Cathy Racon-Bouzon,13,Député,REM,REM
Catherine Osson,59,Député,REM,REM
Catherine Fabre,33,Député,REM,REM
Catherine DI FOLCO,69,Sénateur,LR,LR
Caroline Janvier,45,Député,REM,REM
Caroline Fiat,54,Député,E!,FI
Carole Grandjean,54,Député,REM,REM
Bérangère Couillard,33,Député,REM,REM
Bérangère Abba,52,Député,REM,REM
Bénédicte Peyrol,3,Député,REM,REM
Béatrice Piron,78,Député,REM,REM
Béatrice Descamps,59,Député,UDI,LC
Bruno Studer,67,Député,REM,REM
Bruno Joncour,22,Député,MoDem,MoDem
Bruno Duvergé,62,Député,MoDem,MoDem
Brigitte Liso,59,Député,REM,REM
Brigitte Kuster,75,Député,LR,LR
Brahim Hammouche,57,Député,MoDem,MoDem
Boris Vallaud,40,Député,PS,NG
Bernard Reynès,13,Député,LR,LR
Bernard FOURNIER,42,Sénateur,LR,LR
Barbara Pompili,80,Député,PÉ,REM
BERNARD BONNE,42,Sénateur,LR,LR
Aurélien Taché,95,Député,REM,REM
Audrey Dufeu-Schubert,44,Député,REM,REM
Aude Luquet,77,Député,MoDem,MoDem
Arnaud de BELENET,77,Sénateur,REM,REM
Arnaud Viala,12,Député,LR,LR
Annie Chapelier,30,Député,REM,REM
Anne-Marie Bertrand,13,Sénateur,LR,LR
Anne-Laurence Petel,13,Député,REM,REM
Anne-Laure Cattelot,59,Député,REM,REM
Anne-France Brunet,44,Député,REM,REM
Anne Genetet,99,Député,REM,REM
Anissa Khedher,69,Député,REM,REM
Angèle Préville,46,Sénateur,PS,SOC
André VALLINI,38,Sénateur,PS,SOC
Amélie de Montchalin,91,Député,REM,REM
Amal Amélia Lakrafi,99,Député,REM,REM
Alexandre Holroyd,99,Député,REM,REM
Alexandre Freschi,47,Député,REM,REM
Alexandra Valetta-Ardisson,06,Député,REM,REM
Albane Gaillot,94,Député,REM,REM
Alain Schmitz,78,Sénateur,LR,LR
Aina Kuric,51,Député,REM,REM
Agnès Thill,60,Député,REM,REM
Adrien Taquet,92,Député,REM,REM
Adrien Quatennens,59,Député,PG,FI
Adrien Morenas,84,Député,REM,REM
ANNICK BILLON,85,Sénateur,UDLR,UC
ALBERIC DE MONTGOLGIER,28,Sénateur,LR,LR
