name,departement,mandat,parti,groupe
Éric Woerth,95,Député,LR,LR
xavier IACOVELLI,19,Sénateur,PS,SOC
sonia de la provôté,54,Sénateur,UDLR,UC
pascal savoldelli,52,Sénateur,PCF,CRCE
jean pierre vogel,95,Sénateur,LR,LR
catherine dumas,12,Sénateur,LR,LR
Vincent Eblé,06,Sénateur,PS,SOC
Thomas Gassilloud,69,Député,REM,REM
Sylvie Robert,35,Sénateur,PS,SOC
Stéphane Viry,88,Député,LR,LR
Stéphane PIEDNOIR,49,Sénateur,LR,LR
Sophie PRIMAS,78,Sénateur,LR,LR
Sophie Auconie,37,Député,UDI-FED,LC
Rémi Delatte,21,Député,LR,LR
REMY POINTEREAU,18,Sénateur,LR,LR
Pierre-Yves Bournazel,75,Député,LR,LC
Pierre-Henri Dumont,62,Député,LR,LR
Pierre Vatin,60,Député,LR,LR
Pierre Cuypers,77,Sénateur,LR,LR
Philippe Bas,50,Sénateur,LR,LR
Olivier Véran,38,Député,REM,REM
Olivier Serva,971,Député,REM,REM
Mohamed Laqhila,13,Député,MoDem,MoDem
Michel Zumkeller,90,Député,UDI-Rad.,LC
Marc Fesneau,41,Député,MoDem Pré.,MoDem
Laure de La Raudière,28,Député,LR,LC
Josiane Corneloup,71,Député,LR,LR
Josiane COSTES,15,Sénateur,PRG,RDSE
Jean-Christophe Lagarde,93,Député,UDI-FED,LC
Jean Lassalle,64,Député,Résistons !,NI
JOEL GUERRIAU,44,Sénateur,UDRL,RTLI
JEAN LOUIS LAGOURGUE,974,Sénateur,UDRL,RTLI
JEAN FRANCOIS HUSSON,54,Sénateur,LR,LR
Francois CALVET,66,Sénateur,LR,LR
Franck MENONVILLE,55,Sénateur,UDRL,RDSE
Fabien Roussel,59,Député,PCF,GDR
David Lorion,974,Député,LR,LR
Danièle Cazarian,69,Député,REM,REM
Cedric Perrin,90,Sénateur,LR,LR
CLAUDE NOUGEIN,19,Sénateur,LR,LR
Bruno Bonnell,69,Député,REM,REM
Aurélien Pradié,46,Député,LR,LR
Anne Chain-Larché,77,Sénateur,LR,LR
AndrÃ© GATTOLIN,92,Sénateur,REM,REM
Alain HOUPERT,21,Sénateur,LR,LR
viviane malet,974,Sénateur,LR,LR
Yves Bouloux,86,Sénateur,LR,LR
Valérie Gomez-Bassac,83,Député,REM,REM
Thierry Robert,974,Député,MoDem,MoDem
Stéphane Mazars,12,Député,REM,REM
Stella Dupont,49,Député,REM,REM
Régis Juanico,42,Député,PS,NG
Ronan Dantec,44,Sénateur,EELV,RDSE
Philippe Huppé,34,Député,REM,REM
Philippe Gosselin,50,Député,LR,LR
Philippe Chalumeau,37,Député,REM,REM
PHILIPPE DOMINATI,75,Sénateur,MoDem,LR
Nuihau LAUREY,987,Sénateur,Tapura Huiraatira,UC
Nicole Le Peih,56,Député,REM,REM
Michel Vialay,78,Député,LR,LR
Michel Delpon,24,Député,REM,REM
Martine Filleul,59,Sénateur,PS,SOC
Marie-Noëlle Battistel,38,Député,PS,NG
Marguerite Deprez-Audebert,62,Député,MoDem,MoDem
Louis-Jean de NICOLAY,72,Sénateur,LR,LR
Lana TETUANUI,987,Sénateur,Tapura Huiraatira,UC
Jean-Paul Mattei,64,Député,MoDem,MoDem
Jean-Noel CARDOUX,45,Sénateur,LR,LR
Jean-Charles Taugourdeau,49,Député,LR,LR
